time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-07-31T01:02:57.940Z,35.9811667,-121.0298333,6.81,1.57,md,39,59,0.03748,0.1,nc,nc73918521,2023-07-31T18:22:14.067Z,"12 km WSW of San Ardo, CA",earthquake,0.16,0.41,0.144,34,reviewed,nc,nc
2023-07-31T00:40:28.300Z,46.275,-111.780166666667,4.38,2.39,ml,32,93,0.3626,0.13,mb,mb90022903,2023-07-31T15:27:29.930Z,"12 km E of Elkhorn, Montana",earthquake,0.25,0.88,0.222543061793773,15,reviewed,mb,mb
2023-07-30T23:31:50.757Z,32.45635986,-102.1321218,9.415079753,1.9,ml,27,89,0.06879974793,0.2,tx,tx2023ovmf,2023-08-02T15:09:15.815Z,"35 km SW of Los Ybanez, Texas",earthquake,0.9981943702,1.315757769,0.1,16,reviewed,tx,tx
2023-07-30T22:37:29.590Z,35.7921667,-121.3268333,5.12,2.31,md,61,176,0.1331,0.1,nc,nc73918476,2023-07-31T17:29:14.933Z,"21 km NW of San Simeon, CA",earthquake,0.29,0.47,0.117,55,reviewed,nc,nc
2023-07-30T22:31:11.760Z,32.19085693,-102.1385528,8.241251628,1.8,ml,21,45,0.0657334724,0.2,tx,tx2023ovkf,2023-07-31T21:06:32.247Z,"22 km NNW of Midland, Texas",earthquake,0.8315524298,1.209190075,0,7,reviewed,tx,tx
2023-07-30T20:33:24.490Z,44.2958333333333,-115.192666666667,17.72,1.94,ml,7,114,0.8419,0.26,mb,mb90022998,2023-07-31T21:11:22.910Z,"22 km WNW of Stanley, Idaho",earthquake,0.79,2.52,0.172919135102573,8,reviewed,mb,mb
2023-07-30T19:11:31.220Z,43.33566666666667,-119.66333333333333,10.3,1.93,ml,2,300,1.175,0.16,uw,uw61936322,2023-07-31T04:08:21.750Z,"53 km WSW of Hines, Oregon",earthquake,2.01,15.77,0.07123335057398972,2,reviewed,uw,uw
2023-07-30T19:11:30.464Z,41.3018,-118.4778,0,1.6,ml,4,138.03,1.138,0.1655,nn,nn00863753,2023-07-31T02:03:50.126Z,"65 km WSW of Orovada, Nevada",earthquake,,4,0.26,2,reviewed,nn,nn
2023-07-30T18:01:06.100Z,47.56466666666667,-122.74516666666666,21.14,1.68,ml,41,41,0.03157,0.22,uw,uw61936292,2023-07-31T04:30:11.970Z,"Puget Sound region, Washington",earthquake,0.32,0.46,0.2434464790921862,24,reviewed,uw,uw
2023-07-30T17:56:28.520Z,40.2936667,-124.2965,10.32,1.99,md,25,115,0.02977,0.14,nc,nc73918381,2023-07-31T21:49:14.256Z,"4 km SSW of Petrolia, CA",earthquake,0.34,0.26,0.188,26,reviewed,nc,nc
